Name,total_rev,t_fed_rev,t_st_rev,t_loc_rev
"HARMONY SCIENCE ACADEMY, TX",13669,1259,8112,4298
"HARMONY SCIENCE ACADEMY (AUSTIN), TX",8752,829,7630,293
"HARMONY SCIENCE ACADEMY - BROWNSVILLE, TX",8918,911,7645,362
"HARMONY SCIENCE ACADEMY - LAREDO, TX",8877,709,7685,483
"HARPER ISD, TX",11020,875,3429,6716
"HARRIS COUNTY DEPT OF ED, TX",_,_,_,_
"HARROLD ISD, TX",15037,1211,9018,4807
"HART ISD, TX",12473,1824,7034,3615
"HARTLEY ISD, TX",12784,1341,3578,7865
"HARTS BLUFF ISD, TX",10702,1088,5943,3671
"HASKELL CISD, TX",13113,1530,8142,3441
"HAWKINS ISD, TX",14175,1097,2422,10656
"HAWLEY ISD, TX",10423,751,7704,1968
"HAYS CISD, TX",10180,983,5400,3796
"HEARNE ISD, TX",12175,2217,5384,4574
"HEDLEY ISD, TX",14714,1316,9594,3805
"HEMPHILL ISD, TX",13650,4593,4946,4111
"HEMPSTEAD ISD, TX",10396,1509,5051,3836
"HENDERSON ISD, TX",10402,1417,2027,6957
"HENRIETTA ISD, TX",11957,2006,5150,4801
"HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN, TX",12497,2403,7537,2557
"HEREFORD ISD, TX",8829,1922,4400,2508
"HERMLEIGH ISD, TX",28735,1117,3257,24361
"HICO ISD, TX",11653,1005,6945,3703
"HIDALGO ISD, TX",12385,2814,7599,1972
"HIGGINS ISD, TX",43176,1265,9069,32843
"HIGGS CARTER KING GIFTED & TALENTED CHARTER ACAD, TX",7822,1265,6331,226
"HIGH ISLAND ISD, TX",18575,1028,8346,9201
"HIGHLAND ISD, TX",26176,1770,856,23550
"HIGHLAND PARK ISD, TX",21169,293,2076,18799
"HIGHLAND PARK ISD, TX",13315,1060,1661,10594
"HILLSBORO ISD, TX",10391,1533,4793,4065
"HITCHCOCK ISD, TX",13531,4261,3815,5455
"HOLLAND ISD, TX",13769,3432,7073,3264
"HOLLIDAY ISD, TX",9154,814,4799,3541
"HONDO ISD, TX",8969,1505,5004,2460
"HONEY GROVE ISD, TX",14834,4012,6473,4349
"HONORS ACADEMY, TX",9953,1397,8479,77
"HOOKS ISD, TX",11087,1072,7959,2056
"HOUSTON ALTERNATIVE PREPARATORY CHARTER SCHOOL, TX",_,_,_,_
"HOUSTON CAN ACADEMY CHARTER SCHOOL, TX",10526,2020,8245,262
"HOUSTON GATEWAY ACADEMY INC, TX",10677,1930,8520,228
"HOUSTON HEIGHTS HIGH SCHOOL, TX",10355,925,8945,485
"HOUSTON HEIGHTS LEARNING ACADEMY INC, TX",8974,1496,7357,122
"HOUSTON ISD, TX",10877,2000,2607,6270
"HOWE ISD, TX",9667,726,5811,3131
"HUBBARD ISD, TX",9882,1304,6324,2255
"HUBBARD ISD, TX",14666,1620,9438,3608
"HUCKABAY ISD, TX",11410,1005,3021,7383
"HUDSON ISD, TX",9721,1426,6242,2053
"HUFFMAN ISD, TX",9570,1080,4452,4039
"HUGHES SPRINGS ISD, TX",9971,951,5212,3808
"HULL-DAISETTA ISD, TX",12792,1283,4544,6965
"HUMBLE ISD, TX",9594,1247,3466,4881
"HUNT ISD, TX",22961,818,3514,18630
"HUNTINGTON ISD, TX",9669,1512,6209,1947
"HUNTSVILLE ISD, TX",9072,1414,3987,3671
"HURST-EULESS-BEDFORD ISD, TX",9774,1053,3167,5555
"HUTTO ISD, TX",9450,930,4118,4402
"IDALOU ISD, TX",9846,685,5657,3505
"IDEA PUBLIC SCHOOLS, TX",11408,1626,8420,1362
"INDUSTRIAL ISD, TX",11255,1039,3462,6754
"INFORMATION REFERRAL RESOURCE ASSISTANCE INC, TX",14293,5603,8325,366
"INGLESIDE ISD, TX",9290,1124,2040,6126
"INGRAM ISD, TX",10146,1652,3391,5103
"INSPIRED VISION ACADEMY, TX",10650,1628,8770,252
"IOLA ISD, TX",12006,1059,5209,5738
"IOWA PARK CISD, TX",8187,731,3767,3688
"IRA ISD, TX",12805,875,1891,10039
"IRAAN-SHEFFIELD ISD, TX",47402,1668,4106,41629
"IREDELL ISD, TX",11827,1108,4245,6475
"IRION COUNTY ISD, TX",31310,875,2271,28164
"IRVING ISD, TX",10173,1912,4264,3997
"ITALY ISD, TX",10603,1455,6945,2203
"ITASCA ISD, TX",10771,984,5556,4231
"JACKSBORO ISD, TX",16708,1106,2479,13123
"JACKSONVILLE ISD, TX",9266,1637,5134,2495
"JAMIE'S HOUSE CHARTER SCHOOL, TX",12673,3650,7782,1241
"JARRELL ISD, TX",14915,893,4617,9404
"JASPER ISD, TX",10969,1975,5346,3648
"JAYTON-GIRARD ISD, TX",53320,1013,4046,48261
"JEAN MASSIEU ACADEMY, TX",12726,3685,8855,185
"JEFFERSON ISD, TX",11842,2093,4220,5529
"JESSE JACKSON ACADEMY, TX",¾,¾,¾,¾
"JIM HOGG COUNTY ISD, TX",10853,1788,4605,4461
"JIM NED CISD, TX",13174,1590,6845,4740
"JOAQUIN ISD, TX",12668,1870,5989,4810
"JOHN H WOOD JR PUBLIC CHARTER DISTRICT, TX",20010,4189,15649,172
"JOHNSON CITY ISD, TX",13898,1051,3443,9405
"JONESBORO ISD, TX",12368,1235,5485,5647
"JOSHUA ISD, TX",9385,963,3635,4787
"JOURDANTON ISD, TX",10131,1088,4646,4397
"JUAN B GALAVIZ CHARTER SCHOOL, TX",8076,1106,6970,0
"JUBILEE ACADEMIC CENTER, TX",10400,1449,8633,318
"JUDSON ISD, TX",9616,1156,4240,4219
"JUNCTION ISD, TX",9640,1158,3945,4537
"KARNACK ISD, TX",16700,2535,2831,11333
"KARNES CITY ISD, TX",12079,2413,6165,3501
"KATHERINE ANNE PORTER SCHOOL, TX",11266,1510,9119,636
"KATY ISD, TX",9852,929,3528,5395
"KAUFMAN ISD, TX",9918,1567,5831,2520
"KEENE ISD, TX",11909,1341,6821,3748
"KELLER ISD, TX",9389,703,3200,5486
"KELTON ISD, TX",51263,901,7947,42414
"KEMP ISD, TX",10520,1332,5807,3381
"KENDLETON ISD, TX",¾,¾,¾,¾
"KENEDY COUNTY WIDE CSD, TX",147325,900,3450,142975
"KENEDY ISD, TX",11153,1689,5876,3588
"KENNARD ISD, TX",15238,2076,7771,5390
"KENNEDALE ISD, TX",9533,915,3644,4974
"KERENS ISD, TX",11287,1159,5567,4562
"KERMIT ISD, TX",14669,1489,2646,10534
"KERRVILLE ISD, TX",9959,1528,2720,5711
"KILGORE ISD, TX",8935,1192,2579,5164
"KILLEEN ISD, TX",9963,2730,5328,1905
"KINGSVILLE ISD, TX",10564,2142,5564,2858
"KIPP AUSTIN PUBLIC SCHOOLS INC, TX",14570,2545,8756,3268
"KIPP INC CHARTER, TX",12328,1991,8192,2144
"KIPP SAN ANTONIO, TX",14155,1801,7875,4479
"KIPP SOUTHEAST HOUSTON, TX",13613,1835,8373,3405
"KIPP TRUTH ACADEMY, TX",12773,1614,8351,2808
"KIRBYVILLE CISD, TX",9163,1615,5589,1960
"KLEIN ISD, TX",9225,1084,3832,4309
"KLONDIKE ISD, TX",35214,1126,2105,31983
"KNIPPA ISD, TX",10353,1247,6686,2420
"KNOX CITY-O'BRIEN CISD, TX",15746,3698,7653,4396
"KOINONIA COMMUNITY LEARNING ACADEMY, TX",22558,4581,11465,6512
"KOPPERL ISD, TX",11071,1369,4937,4766
"KOUNTZE ISD, TX",9446,1027,4656,3763
"KRESS ISD, TX",11329,1390,6801,3139
"KRUM ISD, TX",13290,609,5165,7516
"LA ACADEMIA DE ESTRELLAS, TX",8346,1271,7013,61
"LA AMISTAD LOVE & LEARNING ACADEMY, TX",8279,1556,6504,220
"LA ESCUELA DE LAS AMERICAS, TX",¾,¾,¾,¾
"LA FE PREPARATORY SCHOOL, TX",9989,1758,7753,479
"LA FERIA ISD, TX",10293,1715,7121,1458
"LA GLORIA ISD, TX",10434,1159,4496,4779
"LA GRANGE ISD, TX",10144,959,3344,5841
"LA JOYA ISD, TX",11066,2455,7495,1116
"LA MARQUE ISD, TX",11602,2257,3141,6204
"LA PORTE ISD, TX",12873,1022,1477,10374
"LA PRYOR ISD, TX",13531,1976,10091,1464
"LA VEGA ISD, TX",10550,1753,5607,3190
"LA VERNIA ISD, TX",10062,649,5843,3570
"LA VILLA ISD, TX",13395,3426,8052,1917
"LACKLAND ISD, TX",13997,7835,5931,231
"LAGO VISTA ISD, TX",15890,1031,2207,12651
"LAKE DALLAS ISD, TX",10089,898,3844,5347
"LAKE TRAVIS ISD, TX",15534,821,2354,12359
"LAKE WORTH ISD, TX",10640,1396,5384,3861
"LAMAR CISD, TX",10049,1171,3094,5784
"LAMESA ISD, TX",10821,2062,5422,3338
"LAMPASAS ISD, TX",10328,1256,4632,4440
"LANCASTER ISD, TX",10380,1625,5060,3696
"LANEVILLE ISD, TX",13517,2621,4489,6408
"LAPOYNOR ISD, TX",12306,1113,2399,8794
"LAREDO ISD, TX",11338,2382,7613,1342
"LASARA ISD, TX",13711,2420,9899,1392
"LATEXO ISD, TX",11461,1048,5494,4920
"LAZBUDDIE ISD, TX",14069,1628,7159,5283
"LEADERSHIP PREP SCHOOL, TX",_,_,_,_
"LEAKEY ISD, TX",14213,925,2469,10819
"LEANDER ISD, TX",10407,749,3350,6308
"LEARY ISD, TX",10295,1286,5875,3134
"LEFORS ISD, TX",18909,733,5773,12403
"LEGGETT ISD, TX",13974,1794,3500,8680
"LEON ISD, TX",21164,1048,7102,13014
"LEONARD ISD, TX",10580,966,7189,2424
"LEVELLAND ISD, TX",11173,1969,2737,6467
"LEVERETTS CHAPEL ISD, TX",10992,1869,6931,2193
"LEWISVILLE ISD, TX",10635,1006,2835,6794
"LEXINGTON ISD, TX",10303,1172,4764,4367
"LIBERTY HILL ISD, TX",9586,1054,3126,5406
"LIBERTY ISD, TX",10597,2180,3868,4549
"LIBERTY-EYLAU ISD, TX",10419,2232,5622,2566
"LIFE SCHOOL, TX",8887,782,8000,105
"LIGHTHOUSE CHARTER SCHOOL, TX",9140,1195,7900,45
"LINDALE ISD, TX",9936,690,4709,4537
"LINDEN-KILDARE CISD, TX",10658,1100,6014,3544
"LINDSAY ISD, TX",9861,588,4053,5220
"LINGLEVILLE ISD, TX",11034,1247,5791,3996
"LIPAN ISD, TX",12572,1000,2151,9421
"LITTLE CYPRESS-MAURICEVILLE CISD, TX",8629,1084,4321,3225
"LITTLE ELM ISD, TX",9914,1035,4256,4623
"LITTLEFIELD ISD, TX",8851,1797,5243,1810
"LIVINGSTON ISD, TX",10234,1698,3949,4587
"LLANO ISD, TX",22176,1294,2084,18799
"LOCKHART ISD, TX",9483,1581,5374,2528
"LOCKNEY ISD, TX",13290,1189,7228,4872
"LOHN ISD, TX",15874,1262,12010,2602
"LOMETA ISD, TX",13283,3667,6597,3019
"LONDON ISD, TX",13192,797,4722,7673
"LONE OAK ISD, TX",11124,685,6249,4190
"LONGVIEW ISD, TX",11680,1546,3097,7037
"LOOP ISD, TX",46823,1476,4427,40919
"LORAINE ISD, TX",14438,1563,4631,8244
"LORENA ISD, TX",8824,549,4775,3499
"LORENZO ISD, TX",18287,6609,5959,5719
"LOS FRESNOS CISD, TX",10247,2168,6388,1691
"LOUISE ISD, TX",10722,845,5254,4624
"LOVEJOY ISD, TX",12599,450,4446,7703
"LOVELADY ISD, TX",10854,976,4758,5120
"LUBBOCK ISD, TX",9651,2106,3487,4059
"LUBBOCK-COOPER ISD, TX",10566,997,3543,6025
"LUEDERS-AVOCA ISD, TX",15087,1524,7000,6563
"LUFKIN ISD, TX",9173,1636,4302,3236
"LULING ISD, TX",9290,1277,5288,2725
"LUMBERTON ISD, TX",8301,745,4641,2914
"LYFORD CISD, TX",11746,2691,7135,1920
"LYTLE ISD, TX",10736,1979,6754,2003
"MABANK ISD, TX",9953,1261,3895,4798
"MADISONVILLE CISD, TX",9410,1371,5356,2683
"MAGNOLIA ISD, TX",9636,1100,4039,4497
"MAINLAND PREPARATORY ACADEMY, TX",8703,731,7936,37
"MALAKOFF ISD, TX",13752,1426,2604,9722
"MALONE ISD, TX",13505,1828,7030,4646
"MALTA ISD, TX",8622,517,6538,1566
"MANARA ACADEMY, TX",17158,2361,13891,906
"MANOR ISD, TX",10999,1245,4084,5669
"MANSFIELD ISD, TX",9596,820,4095,4681
"MARATHON ISD, TX",31098,2157,13255,15686
"MARBLE FALLS ISD, TX",12534,1246,1773,9515
"MARFA ISD, TX",15865,1406,8300,6159
"MARION ISD, TX",9123,1145,3132,4846
"MARLIN ISD, TX",13944,2921,7822,3201
"MARSHALL ISD, TX",8616,1617,1957,5042
"MART ISD, TX",11761,1292,8048,2421
"MARTINS MILL ISD, TX",10315,908,6796,2611
"MARTINSVILLE ISD, TX",8988,866,5401,2721
"MASON ISD, TX",12903,1681,6143,5078
"MATAGORDA ISD, TX",32000,1581,2314,28105
"MATHIS ISD, TX",13062,4242,6480,2341
"MAUD ISD, TX",10440,1000,7826,1614
"MAY ISD, TX",12454,1139,4509,6806
"MAYPEARL ISD, TX",10184,644,5825,3715
"MCALLEN ISD, TX",9419,2125,4326,2968
"MCCAMEY ISD, TX",48234,1946,3402,42886
"MCDADE ISD, TX",12317,2129,5656,4532
"MCGREGOR ISD, TX",10783,1962,6121,2700
"MCKINNEY ISD, TX",10351,819,3367,6164
"MCLEAN ISD, TX",13788,899,4387,8502
"MCLENNAN CO ST JUVENILE CORRECTION FACILITY I, TX",_,_,_,_
"MCLENNAN CO ST JUVENILE CORRECTION FACILITY II, TX",_,_,_,_
"MCLEOD ISD, TX",10403,887,8450,1065
"MCMULLEN COUNTY ISD, TX",36326,798,3708,31820
"MEADOW ISD, TX",14474,2408,6199,5868
"MEADOWLAND CHARTER SCHOOL, TX",20938,1333,19563,42
"MEDICAL CENTER CHARTER SCHOOL, TX",8459,1365,6658,437
"MEDINA ISD, TX",13917,1255,5020,7642
"MEDINA VALLEY ISD, TX",9881,1310,4410,4160
"MELISSA ISD, TX",10418,741,4850,4828
"MEMPHIS ISD, TX",13154,2868,7835,2450
"MENARD ISD, TX",16758,4936,6179,5642
"MERCEDES ISD, TX",10985,3157,6678,1150
"MERIDIAN ISD, TX",14803,2894,7892,4018
"MERIDIAN WORLD SCHOOL LLC, TX",_,_,_,_
"MERKEL ISD, TX",10943,1118,6038,3787
"MESQUITE ISD, TX",9919,1412,5789,2718
"METRO ACADEMY OF MATH AND SCIENCE, TX",_,_,_,_
"MEXIA ISD, TX",9907,1891,5735,2281
"MEYERPARK ELEMENTARY, TX",9168,1603,7467,98
"MEYERSVILLE ISD, TX",12413,1006,6700,4706
"MIAMI ISD, TX",50352,689,5964,43699
"MID-VALLEY ACADEMY, TX",9964,2640,7317,7
"MIDLAND ACADEMY CHARTER SCHOOL, TX",9469,1255,7918,296
"MIDLAND ISD, TX",8904,1299,1802,5803
"MIDLOTHIAN ISD, TX",9850,766,3527,5557
"MIDWAY ISD, TX",17320,1262,6078,9981
"MIDWAY ISD, TX",9904,711,2325,6869
"MILANO ISD, TX",10000,1175,6200,2626
"MILDRED ISD, TX",11723,809,3749,7165
"MILES ISD, TX",10820,926,7571,2323
"MILFORD ISD, TX",11104,1151,6570,3382
"MILLER GROVE ISD, TX",11262,944,7468,2849
"MILLSAP ISD, TX",12414,845,4248,7321
"MINEOLA ISD, TX",11031,2038,4674,4319
"MINERAL WELLS ISD, TX",9366,1489,5011,2866
"MISSION CISD, TX",10490,2202,6789,1499
"MONAHANS-WICKETT-PYOTE ISD, TX",11822,1169,1924,8729
"MONTAGUE ISD, TX",11461,1078,6314,4069
"MONTE ALTO ISD, TX",11088,1924,7923,1242
"MONTGOMERY ISD, TX",10212,750,1961,7500
"MOODY ISD, TX",10823,942,6917,2964
"MORAN ISD, TX",12503,1366,7006,4130
"MORGAN ISD, TX",13656,1728,6760,5168
"MORGAN MILL ISD, TX",10629,690,2905,7034
"MORTON ISD, TX",12715,2294,7881,2540
"MOTLEY COUNTY ISD, TX",16989,4552,6530,5907
"MOULTON ISD, TX",10799,1248,6408,3144
"MOUNT CALM ISD, TX",13259,898,9325,3036
"MOUNT ENTERPRISE ISD, TX",9626,1437,5985,2204
"MOUNT PLEASANT ISD, TX",10147,2185,3153,4808
"MOUNT VERNON ISD, TX",10860,1161,2715,6984
"MUENSTER ISD, TX",14052,684,4233,9135
"MULESHOE ISD, TX",11490,2173,6304,3013
"MULLIN ISD, TX",18390,2810,9581,6000
"MUMFORD ISD, TX",9925,871,6991,2064
"MUNDAY CISD, TX",13095,2184,8146,2765
"MURCHISON ISD, TX",11775,1804,6681,3290
"NACOGDOCHES ISD, TX",9530,1874,3791,3865
"NATALIA ISD, TX",11235,2184,6877,2174
"NAVARRO ISD, TX",9724,1404,2846,5473
"NAVASOTA ISD, TX",10674,2062,2855,5758
"NAZARETH ISD, TX",10888,694,7674,2521
"NECHES ISD, TX",10747,1102,5730,3914
"NEDERLAND ISD, TX",8692,1201,2810,4682
"NEEDVILLE ISD, TX",10027,835,5262,3930
"NEW BOSTON ISD, TX",10869,1710,5460,3699
"NEW BRAUNFELS ISD, TX",8951,1050,2685,5216
"NEW CANEY ISD, TX",10102,1173,5571,3358
"NEW DEAL ISD, TX",10830,1196,6245,3390
"NEW DIANA ISD, TX",9315,853,6214,2248
"NEW FRONTIERS CHARTER SCHOOL, TX",10610,2062,8485,63
"NEW HOME ISD, TX",11629,1144,6418,4067
"NEW SUMMERFIELD ISD, TX",11545,1976,8232,1337
"NEW WAVERLY ISD, TX",10826,1407,6316,3103
"NEWCASTLE ISD, TX",11408,1028,6212,4168
"NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON, TX",_,_,_,_
"NEWTON ISD, TX",11531,2045,6132,3354
"NIXON-SMILEY CISD, TX",12909,2963,7388,2557
"NOCONA ISD, TX",10853,2213,5770,2869
"NORDHEIM ISD, TX",17876,1204,2442,14230
"NORMANGEE ISD, TX",13136,866,541,11729
"NORTH EAST ISD, TX",10298,1114,3086,6098
"NORTH FOREST ISD, TX",11255,2906,5079,3270
"NORTH HOPKINS ISD, TX",11115,1293,7097,2725
"NORTH HOUSTON H S FOR BUSINESS, TX",_,_,_,_
"NORTH LAMAR ISD, TX",9481,1378,3984,4119
"NORTH ZULCH ISD, TX",12875,1565,5626,5684
"NORTHSIDE ISD, TX",9707,1158,3636,4914
"NORTHSIDE ISD, TX",12150,1130,8746,2275
"NORTHWEST ISD, TX",13770,952,2596,10222
"NORTHWEST PREPARATORY, TX",12775,1827,10803,145
"NOVA ACADEMY, TX",9168,23,9136,9
"NOVA ACADEMY (SOUTHEAST), TX",11255,1844,9342,68
"NOVICE ISD, TX",15814,1784,8742,5289
"NUECES CANYON CISD, TX",14095,2049,3373,8673
"NURSERY ISD, TX",21439,1482,1763,18193
"NYOS CHARTER SCHOOL, TX",9709,1419,7909,380
"O'DONNELL ISD, TX",14534,1920,8415,4198
"OAKWOOD ISD, TX",15301,1981,3201,10120
"ODEM-EDROY ISD, TX",11457,2303,5709,3445
"ODYSSEY ACADEMY INC, TX",10624,1779,8041,804
"OGLESBY ISD, TX",13606,974,9581,3052
"OLFEN ISD, TX",14957,1214,12800,943
"OLNEY ISD, TX",13453,2324,6905,4224
"OLTON ISD, TX",11599,1587,7316,2695
"ONALASKA ISD, TX",10651,1390,4093,5168
"ORANGE GROVE ISD, TX",9772,1270,6781,1722
"ORANGEFIELD ISD, TX",8798,977,4789,3033
"ORE CITY ISD, TX",10852,1823,6703,2326
"ORENDA CHARTER SCHOOL, TX",13590,1390,11681,519
"OUTREACH ACADEMY, TX",_,_,_,_
"OVERTON ISD, TX",10529,1029,6967,2533
"PADUCAH ISD, TX",14870,2636,5728,6506
"PAINT CREEK ISD, TX",10906,1494,6500,2912
"PAINT ROCK ISD, TX",14324,1432,6203,6689
"PALACIOS ISD, TX",16286,1591,3557,11138
"PALESTINE ISD, TX",10903,1814,3888,5201
"PALMER ISD, TX",10108,1284,5956,2869
"PALO PINTO ISD, TX",48236,882,1755,45600
"PAMPA ISD, TX",9874,1402,4032,4440
"PANHANDLE ISD, TX",14815,933,2195,11688
"PANOLA CHARTER SCHOOL, TX",11522,1382,9917,223
"PANTHER CREEK CISD, TX",13888,1509,4337,8041
"PARADISE ISD, TX",11700,669,5971,5059
"PARIS ISD, TX",10501,2097,5581,2823
"PASADENA ISD, TX",9693,1848,5048,2797
"PASO DEL NORTE, TX",9589,1787,7795,8
"PATTON SPRINGS ISD, TX",19229,2208,13344,3677
"PAWNEE ISD, TX",19815,1327,5117,13370
"PEARLAND ISD, TX",9015,961,3469,4585
"PEARSALL ISD, TX",12415,2444,6216,3755
"PEASTER ISD, TX",10106,592,5830,3685
"PECOS-BARSTOW-TOYAH ISD, TX",12127,2099,4024,6003
"PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES, TX",10755,1273,9444,38
"PENELOPE ISD, TX",12117,1033,9461,1622
"PERRIN-WHITT CISD, TX",14117,974,1436,11706
"PERRYTON ISD, TX",9443,1457,2850,5136
"PETERSBURG ISD, TX",11611,1428,7106,3078
"PETROLIA ISD, TX",10887,1141,6542,3204
"PETTUS ISD, TX",11915,2336,4800,4779
"PEWITT CISD, TX",9773,1065,5067,3641
"PFLUGERVILLE ISD, TX",9599,1069,3566,4964
"PHARR-SAN JUAN-ALAMO ISD, TX",10764,2593,6576,1595
"PHOENIX CHARTER SCHOOL, TX",8788,1135,7285,367
"PILOT POINT ISD, TX",10077,1297,3675,5105
"PINE TREE ISD, TX",9015,1024,3106,4886
"PINEYWOODS COMMUNITY ACADEMY, TX",9166,1131,7624,411
"PITTSBURG ISD, TX",9873,1632,4846,3396
"PLAINS ISD, TX",23208,1337,2111,19760
"PLAINVIEW ISD, TX",8437,1670,4355,2411
"PLANO ISD, TX",11401,1009,1859,8533
"PLEASANT GROVE ISD, TX",10334,747,2960,6627
"PLEASANTON ISD, TX",10356,2467,5110,2779
"PLEMONS-STINNETT-PHILLIPS CISD, TX",27252,1159,4176,21917
"POINT ISABEL ISD, TX",20333,2526,1986,15820
"PONDER ISD, TX",15733,641,4077,11016
"POOLVILLE ISD, TX",11080,1125,5223,4731
"POR VIDA ACADEMY, TX",13244,5064,8073,108
"PORT ARANSAS ISD, TX",34710,979,3886,29845
"PORT ARTHUR ISD, TX",12908,2185,3179,7544
"PORT NECHES-GROVES ISD, TX",11410,1421,1142,8848
"POSITIVE SOLUTIONS CHARTER SCHOOL, TX",13357,5936,7376,45
"POST ISD, TX",14553,1739,2195,10618
"POTEET ISD, TX",9266,1461,6363,1442
"POTH ISD, TX",9424,799,5815,2809
"POTTSBORO ISD, TX",10731,998,3056,6677
"PRAIRIE LEA ISD, TX",11707,1414,5754,4539
"PRAIRIE VALLEY ISD, TX",15239,1000,4007,10232
"PRAIRILAND ISD, TX",9861,830,6529,2503
"PREMIER HIGH SCHOOLS, TX",11000,1073,8450,1476
"PREMIER LEARNING ACADEMY, TX",_,_,_,_
"PREMONT ISD, TX",13440,3428,6827,3185
"PRESIDIO ISD, TX",14010,2664,10155,1190
"PRIDDY ISD, TX",14508,1483,10300,2725
"PRINCETON ISD, TX",10047,1069,6271,2707
"PRINGLE-MORSE CISD, TX",26397,1017,4256,21124
"PROGRESO ISD, TX",11441,2627,7828,986
"PROMISE COMMUNITY SCHOOL, TX",7519,1071,6415,33
"PROSPER ISD, TX",12816,571,4729,7516
"QUANAH ISD, TX",14106,2966,6030,5110
"QUEEN CITY ISD, TX",9571,1472,3773,4326
"QUINLAN ISD, TX",9496,1315,4563,3618
"QUITMAN ISD, TX",9681,808,4334,4540
"RADIANCE ACADEMY OF LEARNING, TX",9050,875,8126,49
"RAINS ISD, TX",10795,1696,4534,4566
"RALLS ISD, TX",11515,1707,7364,2445
"RAMIREZ CSD, TX",18050,4650,6300,7100
"RANCH ACADEMY, TX",19094,4146,14865,83
"RANDOLPH FIELD ISD, TX",12355,6964,5000,391
"RANGER ISD, TX",10506,1172,6863,2471
"RANKIN ISD, TX",127009,1491,4300,121217
"RAPOPORT ACADEMY PUBLIC SCHOOL, TX",11594,1948,8243,1403
"RAUL YZAGUIRRE SCHOOL FOR SUCCESS, TX",12356,1940,10252,164
"RAVEN SCHOOL, TX",22882,6800,15991,91
"RAYMONDVILLE ISD, TX",13133,3539,6358,3237
"REAGAN COUNTY ISD, TX",28476,1310,2568,24598
"RECONCILIATION ACADEMY, TX",8257,1099,6911,246
"RED LICK ISD, TX",8528,388,3876,4264
"RED OAK ISD, TX",9998,989,5259,3750
"REDWATER ISD, TX",9718,1008,6270,2440
"REFUGIO ISD, TX",15821,3831,2143,9847
"REG 1 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 10 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 11 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 12 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 13 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 14 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 15 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 16 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 17 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 18 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 19 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 2 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 20 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 3 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 4 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 5 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 6 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 7 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 8 EDUCATION SERVICE CENTER, TX",_,_,_,_
"REG 9 EDUCATION SERVICE CENTER, TX",_,_,_,_
"RICARDO ISD, TX",9994,1288,6017,2689
"RICE CISD, TX",11681,1453,4381,5848
"RICE ISD, TX",10884,1064,7831,1989
"RICHARD MILBURN ACADEMY (AMARILLO), TX",7917,733,7171,13
"RICHARD MILBURN ACADEMY (BEAUMONT), TX",¾,¾,¾,¾
"RICHARD MILBURN ACADEMY (ECTOR COUNTY), TX",10874,1811,9063,0
"RICHARD MILBURN ACADEMY (FORT WORTH), TX",8960,1561,7399,0
"RICHARD MILBURN ACADEMY (SUBURBAN HOUSTON), TX",8767,980,7787,0
"RICHARD MILBURN ALTER HIGH SCHOOL (CORPUS CHRISTI), TX",9218,1798,7409,12
"RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN), TX",12072,2816,9257,0
"RICHARDS ISD, TX",16145,1507,4007,10632
"RICHARDSON ISD, TX",10374,1605,2650,6119
"RICHLAND COLLEGIATE HIGH SCHOOL, TX",7505,273,7188,45
"RICHLAND SPRINGS ISD, TX",17535,2039,10102,5394
"RIESEL ISD, TX",10943,751,4815,5377
"RIO GRANDE CITY CISD, TX",11799,2248,7614,1937
"RIO HONDO ISD, TX",10728,2122,7266,1339
"RIO VISTA ISD, TX",10790,993,4674,5123
"RISE ACADEMY, TX",8815,873,7722,220
"RISING STAR ISD, TX",12340,1519,8231,2590
"RIVER ROAD ISD, TX",9198,1238,5382,2578
"RIVERCREST ISD, TX",11780,1056,6657,4068
"RIVIERA ISD, TX",13098,1316,4431,7351
"ROBERT LEE ISD, TX",26707,1084,4791,20831
"ROBINSON ISD, TX",9413,928,5280,3206
"ROBSTOWN ISD, TX",12372,3386,7277,1709
"ROBY CISD, TX",11233,1120,6651,3462
"ROCHELLE ISD, TX",12114,1338,8038,2738
"ROCKDALE ISD, TX",11787,1252,1957,8578
"ROCKSPRINGS ISD, TX",16735,2258,4480,9997
