Name,total_rev,t_fed_rev,t_st_rev,t_loc_rev
"BORDEN COUNTY ISD, TX",58960,1423,10987,46551
"BORGER ISD, TX",9887,2188,4768,2931
"BOSQUEVILLE ISD, TX",11184,967,6321,3897
"BOVINA ISD, TX",9662,1249,6804,1609
"BOWIE ISD, TX",9726,917,3861,4948
"BOYD ISD, TX",13069,751,2119,10198
"BOYS RANCH ISD, TX",22870,4527,10885,7458
"BRACKETT ISD, TX",12104,1480,7594,3029
"BRADY ISD, TX",12880,2385,6186,4309
"BRAZOS ISD, TX",12369,1511,4931,5927
"BRAZOS RIVER CHARTER SCHOOL, TX",10415,1231,9092,92
"BRAZOS SCHOOL FOR INQUIRY & CREATIVITY, TX",10237,1860,8340,36
"BRAZOSPORT ISD, TX",9847,1372,1855,6620
"BRECKENRIDGE ISD, TX",10391,1412,2481,6498
"BREMOND ISD, TX",18278,935,5589,11754
"BRENHAM ISD, TX",9468,1221,3188,5059
"BRIDGE CITY ISD, TX",9586,1388,4161,4037
"BRIDGEPORT ISD, TX",12141,1918,2742,7481
"BRIGHT IDEAS CHARTER, TX",9904,893,7460,1551
"BROADDUS ISD, TX",11234,1969,7352,1913
"BROCK ISD, TX",10936,459,2714,7763
"BRONTE ISD, TX",11875,1125,6724,4026
"BROOKELAND ISD, TX",14524,4612,4598,5315
"BROOKESMITH ISD, TX",11529,1371,6335,3824
"BROOKS ACADEMY OF SCIENCE AND ENGINEERING, TX",9948,1139,8727,82
"BROOKS COUNTY ISD, TX",13347,2916,4499,5932
"BROWNFIELD ISD, TX",12493,2920,3606,5967
"BROWNSBORO ISD, TX",8807,1227,4827,2753
"BROWNSVILLE ISD, TX",10112,2362,6589,1160
"BROWNWOOD ISD, TX",9849,1874,3797,4178
"BRUCEVILLE-EDDY ISD, TX",11463,1284,7433,2746
"BRYAN ISD, TX",9532,1605,3784,4143
"BRYSON ISD, TX",17709,1175,5490,11044
"BUCKHOLTS ISD, TX",11222,1422,7822,1978
"BUENA VISTA ISD, TX",30914,3000,2371,25543
"BUFFALO ISD, TX",11104,1416,3907,5781
"BULLARD ISD, TX",10145,651,3881,5614
"BUNA ISD, TX",9317,1452,5443,2422
"BURKBURNETT ISD, TX",9460,1431,4807,3222
"BURKEVILLE ISD, TX",13920,1866,5632,6421
"BURLESON ISD, TX",9777,847,2661,6270
"BURNET CISD, TX",10566,1345,2466,6754
"BURNHAM WOOD CHARTER SCHOOL DISTRICT, TX",9233,1216,7788,229
"BURTON ISD, TX",15739,984,2544,12210
"BUSHLAND ISD, TX",12100,1251,2351,8498
"BYERS ISD, TX",11597,2156,5364,4078
"BYNUM ISD, TX",11668,988,7713,2967
"CADDO MILLS ISD, TX",10046,611,5386,4049
"CALALLEN ISD, TX",9674,1536,3993,4145
"CALDWELL ISD, TX",10727,2038,3610,5080
