CAMPUS,C20AD12R,C20BKA12R,C20BTA12R,C30AD12R,C30BKA12R,C30BTA12R,C40AD12R,C40BKA12R,C40BTA12R,CA0AD12R,CA0BKA12R,CA0BTA12R,CAHEE12R,CB0AD12R,CB0BKA12R,CB0BTA12R,CE0AD12R,CE0BKA12R,CE0BTA12R,CF0AD12R,CF0BKA12R,CF0BTA12R,CH0AD12R,CH0BKA12R,CH0BTA12R,CI0AD12R,CI0BKA12R,CI0BTA12R,CL0AD12R,CM0AD12R,CM0BKA12R,CM0BTA12R,CR0AD12R,CS0AD12R,CW0AD12R,CW0BKA12R,CW0BTA12R
"001902001",33.3,.,.,.,.,.,.,.,.,23.1,.,.,57.8,38.9,.,.,25.5,.,.,23.8,.,.,21.4,.,.,.,.,.,-1,22.6,.,.,28.1,24,21.1,.,.
"001902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903001",0,.,-1,-1,.,-1,.,.,.,13.5,61.1,11.4,46.7,0,.,0,7.8,-1,6.5,15.2,53.8,19.1,16.7,-1,33.3,.,.,.,.,11.9,80,5.6,1.6,2.7,14.1,71.4,10.1
"001903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001904001",36.4,-1,20,-1,.,-1,.,.,.,25.7,0,6.8,62.5,10.3,.,0,18.7,-1,5.5,25,-1,7.7,29.4,-1,12.5,-1,.,.,-1,26.4,-1,6.3,8.6,5.6,27.8,0,6.9
"001904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001906002",-1,.,.,-1,.,.,.,.,.,18.8,.,.,65,33.3,.,.,14.6,.,.,24.1,.,.,28.6,.,.,.,.,.,-1,13.8,.,.,8.1,0,16.1,.,.
"001906102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001907001",100,-1,-1,35.7,-1,33.3,-1,.,-1,21.6,33.3,17.3,47.2,10.7,16.7,6.3,17.1,34.5,12.6,22.7,36.8,24.2,24.7,31.4,23.2,.,.,.,27.3,20.6,28,12,17,3.4,24.6,42.1,17.6
"001907041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001907101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001907102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001907107",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001907110",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001908002",20,-1,20,50,-1,16.7,-1,.,-1,23.8,40,7.1,51.1,16.5,-1,4.7,16.9,-1,4.3,25.9,50,7.6,26.4,-1,13.3,-1,.,-1,-1,21.7,28.6,6.6,8.1,5.8,24.6,42.9,5.6
"001908041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001908101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001908102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"001909001",-1,.,.,.,.,.,.,.,.,17.6,.,.,55,.,.,.,12.5,.,.,12.9,.,.,-1,.,.,-1,.,.,-1,22.8,.,.,6.7,0,17.3,.,.
"001909101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"002901001",33.3,.,0,-1,-1,-1,.,.,.,19.6,20.5,12.2,-1,0,.,0,11.3,50,9.4,20.8,24.1,15.4,16.3,31.8,10,-1,.,.,11.4,18.5,13.3,8.7,7.4,6.5,25.1,4.8,16.8
"002901002",.,.,.,.,.,.,.,.,.,20.2,.,.,-1,0,.,.,3.8,.,.,25.6,.,.,17.9,.,.,.,.,.,-1,16.9,.,.,10.5,14.3,25.6,.,.
"002901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"002901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"002901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"002901105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003801001",.,.,.,-1,.,.,.,.,.,90.5,.,.,.,100,.,.,96.7,.,.,95.1,.,.,100,.,.,.,.,.,.,86,.,.,94.4,100,87.1,.,.
"003801103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003902001",38.9,-1,11.1,54.5,-1,-1,-1,.,.,31.9,72.2,11.4,-1,14.8,.,0,23.4,70,7.6,36.5,57.9,12.8,23.4,83.3,14,33.3,.,-1,0,27.5,88.2,10.1,10.8,0,34.4,66.7,11
"003902004",.,.,.,.,.,.,.,.,.,0,.,.,-1,-1,.,.,0,.,.,0,.,.,0,.,.,.,.,.,.,0,.,.,0,-1,0,.,.
"003902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903001",25.6,-1,14.3,59.5,78.6,73.7,-1,.,-1,20.6,58.7,20.9,-1,10.4,31.3,6.2,13.9,67.9,9,24.2,61.6,23.8,17.8,69.8,13.5,28.6,-1,-1,5.2,16.8,54.2,17.7,4.2,3,29.5,55.7,34.8
"003903004",-1,.,.,.,.,.,.,.,.,0,.,.,-1,0,.,.,0,.,.,0,.,.,0,.,.,-1,.,.,-1,0,.,.,0,0,0,.,.
"003903044",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903121",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903122",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903123",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903124",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903125",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903126",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903127",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903128",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903129",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903130",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903131",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903140",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003903201",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003904001",0,.,.,.,.,.,.,.,.,22.1,.,.,63.2,0,.,.,12.4,.,.,25.7,.,.,15,.,.,-1,.,.,-1,18.5,.,.,3.9,7,23.5,.,.
"003904005",-1,.,.,.,.,.,-1,.,.,5.1,.,.,19.4,-1,.,.,4.8,.,.,4.5,.,.,-1,.,.,.,.,.,.,5.9,.,.,6.5,-1,6.5,.,.
"003904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003905001",-1,.,-1,-1,-1,-1,.,.,.,20.1,6.4,21.2,68.8,14.9,0,14.3,16.3,3.7,18.9,22.5,4,26.3,17.2,6.3,16,-1,.,.,0,18.2,9.1,17.3,6.4,1.8,26.5,8,29.8
"003905004",.,.,.,.,.,.,.,.,.,0,.,.,57.1,0,.,.,0,.,.,0,.,.,0,.,.,.,.,.,-1,0,.,.,0,-1,0,.,.
"003905041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003905101",.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.
"003905102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003905103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003906001",12.5,.,.,.,.,.,.,.,.,25.4,.,.,40.9,.,.,.,18.2,.,.,31.9,.,.,-1,.,.,-1,.,.,.,17.2,.,.,11.9,20,26.3,.,.
"003906101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003907001",-1,.,-1,-1,.,-1,.,.,.,25.3,10,4.7,-1,22.2,.,0,16.5,16.7,6.3,27.9,20,5.2,24.6,-1,14.3,-1,.,-1,-1,23.1,0,4.2,3.8,0,25.7,16.7,3.4
"003907004",.,.,.,.,.,.,.,.,.,0,.,.,-1,-1,.,.,0,.,.,0,.,.,0,.,.,.,.,.,.,0,.,.,0,0,0,.,.
"003907041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"003907102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"004901001",25,-1,16.7,37.1,-1,18.8,.,.,.,26.7,54.7,17,48.6,15.4,.,-1,19.8,56.5,9.5,30.3,52.2,23.5,20.2,58.8,10.8,-1,.,-1,33.3,23.7,58.6,11.8,11.8,8.2,30.4,53.7,21
"004901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"004901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"004901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"004901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"005901001",-1,-1,-1,-1,.,-1,.,.,.,26.5,42.9,18.7,48.5,-1,.,.,18,-1,12.5,25.4,44.4,26.5,60,-1,-1,-1,-1,-1,.,27.4,40,12.2,9.8,4.5,24.3,44.4,13.4
"005901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"005902001",.,.,.,.,.,.,.,.,.,26,55.3,30.9,67.7,-1,.,.,20,-1,16,26.3,58.3,49,31.3,-1,33.3,-1,.,.,.,25.7,50,18.9,6.7,8.7,26.1,52.8,30.8
"005902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"005902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"005904001",-1,.,-1,-1,.,.,.,.,.,23.5,-1,3.9,56.7,.,.,.,24.3,-1,5.4,32.8,-1,6.9,7.1,.,0,-1,.,-1,0,16.8,-1,2.1,4.1,7.1,28.9,-1,5.3
"005904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"005904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"006902001",.,.,.,.,.,.,.,.,.,48.2,.,.,68.2,-1,.,.,45.5,.,.,51.7,.,.,30,.,.,.,.,.,-1,44.2,.,.,28.2,27.3,50.5,.,.
"006902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007901001",.,.,.,-1,.,.,.,.,.,19.7,.,.,48.7,.,.,.,8.3,.,.,28.8,.,.,19.8,.,.,.,.,.,0,12.3,.,.,8.4,0,20,.,.
"007901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007902001",-1,.,-1,-1,-1,-1,-1,.,.,21.2,18.2,13.8,-1,-1,.,.,18.1,0,7.4,22.8,15.4,16.5,17.2,14.3,7.4,.,.,.,-1,19.5,22.2,11.1,14,3.4,27.6,21.4,21.9
"007902005",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007902006",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007904001",-1,.,-1,.,.,.,.,.,.,30.1,25,8.3,48.5,66.7,-1,20,26.3,10,6.8,30.1,33.3,10.3,28.3,7.7,7.3,-1,.,-1,14.3,30.2,12.5,6.3,14.1,8.8,34.2,66.7,10.3
"007904002",-1,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,-1,.,.,-1,.,.,-1,.,.,.,.,.,.,-1,.,.,-1,-1,.,.,.
"007904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007904103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007905001",85.7,-1,-1,-1,.,.,.,.,.,22.4,20.7,14.4,-1,20,.,-1,16,18.8,8,24.2,19.4,18.2,18.5,14.3,11.1,20,-1,-1,11.1,20.5,22.7,10.7,11.7,11,29.4,30.8,18.6
"007905005",.,.,.,.,.,.,.,.,.,69,.,.,-1,.,.,.,63.6,.,.,65.2,.,.,73.5,.,.,.,.,.,-1,73.7,.,.,70.8,-1,50,.,.
"007905007",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007905041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007905103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007905104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007905105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007906001",.,.,.,.,.,.,.,.,.,15.3,0,12.3,35.9,-1,.,.,14.3,0,10.9,18.6,0,14.3,13.3,0,10.3,.,.,.,0,12.1,0,10.1,6.1,2,26.9,0,20.9
"007906003",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007906041",.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,-1,.,.,-1,.,.,-1,.,.,.,.,.,.,-1,.,.,-1,.,.,.,.
"007906101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"007906102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"008901001",41.2,.,0,-1,.,-1,.,.,.,29.8,53.6,16.4,60.9,19.4,-1,6.1,14.6,-1,3.4,33.8,50,21.5,15.8,-1,1.5,-1,-1,-1,7.1,25.7,59.1,12,5.6,6.4,35.1,57.7,22.2
"008901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"008901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"008901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"008901105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"008902001",33.3,-1,20,-1,.,.,.,.,.,24.1,30.9,25.4,54.1,15.6,-1,7.3,20.4,28.1,16.9,25.6,32.7,28.6,21.6,32.3,19.9,-1,.,.,3.8,22.5,28.6,22.1,12.7,5.4,28.7,32.8,36.7
"008902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"008902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"008902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"008903001",-1,.,.,.,.,.,.,.,.,24.9,.,.,71.4,15.4,.,.,19.1,.,.,23.4,.,.,24.6,.,.,.,.,.,-1,26.2,.,.,12.5,5.6,28.3,.,.
"008903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"008903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"009901001",-1,.,.,-1,.,-1,.,.,.,17.4,-1,0.6,-1,.,.,.,14.1,.,0,20.3,-1,1.4,14.6,-1,0.8,.,.,.,0,15,.,0,8,0,26.8,.,0
"009901002",.,.,.,.,.,.,.,.,.,0,.,.,-1,-1,.,.,0,.,.,-1,.,.,0,.,.,.,.,.,-1,0,.,.,0,-1,.,.,.
"009901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"009901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"009901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"010901001",-1,.,-1,.,.,.,.,.,.,25.7,40,7.9,66.7,-1,.,-1,14.6,.,0,25.5,-1,7.1,0,.,0,.,.,.,0,25.9,-1,8.6,4.4,0,32.2,40,10.2
"010901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"010902001",43.8,-1,25,-1,-1,-1,.,.,.,38.2,46.3,14.8,50.5,-1,.,-1,26.5,26.3,13.9,42.7,38.2,18.4,35.9,54.5,12,30,-1,-1,0,34.2,60,11.1,15.3,3.9,38.6,46.2,15
"010902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"010902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"010902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901001",27.3,-1,12.5,40,.,-1,-1,.,.,31.3,65.1,10.4,54.6,17,-1,4.1,25,67.6,8,32.7,57.8,11.1,29,64,7.6,18.2,-1,-1,4,29.9,73.2,9.7,20.3,2.6,36.1,66.1,13.7
"011901002",33.3,-1,-1,33.3,.,.,-1,.,-1,22.8,65.4,11.6,.,29.3,.,0,16.6,46.2,8.9,27.5,63.6,10.4,16.9,53.8,9.6,-1,.,-1,3.5,18.9,66.7,12.7,12.2,2.9,32,75,16.9
"011901022",-1,.,.,.,.,.,.,.,.,3.9,.,.,18.8,0,.,.,4.9,.,.,5.9,.,.,4.9,.,.,-1,.,.,-1,2,.,.,2.6,0,3.8,.,.
"011901033",.,.,.,.,.,.,.,.,.,0,.,.,.,-1,.,.,0,.,.,.,.,.,-1,.,.,.,.,.,.,0,.,.,0,-1,-1,.,.
"011901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901106",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901107",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901108",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901109",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011901110",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902001",26.1,-1,8.3,28.6,.,-1,-1,.,.,17.5,45.7,6.8,51.9,10.1,-1,4.2,13.9,41.7,4,19.7,45,7.4,16.1,33.3,3.9,-1,.,-1,3.9,15.1,46.7,6.1,12.3,1.7,21.4,50,11.4
"011902004",-1,.,.,.,.,.,.,.,.,0,.,.,24,0,.,.,0,.,.,0,.,.,0,.,.,.,.,.,-1,0,.,.,0,0,0,.,.
"011902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"011904002",27.3,.,-1,-1,.,-1,-1,.,-1,21.4,37.5,3.2,-1,10,.,0,17.5,-1,1.6,24.8,-1,3.1,18.6,.,0,40,.,-1,0,18,-1,3.3,8.6,1.6,23.2,37.5,4.8
