CAMPUS,C20AD12R,C20BKA12R,C20BTA12R,C30AD12R,C30BKA12R,C30BTA12R,C40AD12R,C40BKA12R,C40BTA12R,CA0AD12R,CA0BKA12R,CA0BTA12R,CAHEE12R,CB0AD12R,CB0BKA12R,CB0BTA12R,CE0AD12R,CE0BKA12R,CE0BTA12R,CF0AD12R,CF0BKA12R,CF0BTA12R,CH0AD12R,CH0BKA12R,CH0BTA12R,CI0AD12R,CI0BKA12R,CI0BTA12R,CL0AD12R,CM0AD12R,CM0BKA12R,CM0BTA12R,CR0AD12R,CS0AD12R,CW0AD12R,CW0BKA12R,CW0BTA12R
"037904004",.,.,.,.,.,.,.,.,.,6.5,.,.,-1,0,.,.,4.5,.,.,-1,.,.,15.4,.,.,.,.,.,.,7.4,.,.,10.5,-1,0,.,.
"037904042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"037904043",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"037904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"037904103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"037904104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"037904105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"037907002",0,.,-1,42.9,.,0,.,.,.,16.8,88.9,3.6,36.9,15.6,.,0,11.2,-1,3.3,20.8,83.3,4.5,7.5,-1,3.1,-1,.,.,0,12.9,-1,2.6,10.7,4.4,18.6,87.5,4.4
"037907041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"037907100",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"037907102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"037907103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"037908001",.,.,.,.,.,.,.,.,.,18.2,.,.,50,12.5,.,.,16.1,.,.,21.9,.,.,16.8,.,.,.,.,.,15.8,15.1,.,.,15.9,20,25,.,.
"037909001",-1,.,.,.,.,.,.,.,.,35.3,.,.,52.6,42.9,.,.,36.1,.,.,35.4,.,.,50,.,.,.,.,.,-1,35.2,.,.,28.6,13.3,33.8,.,.
"037909101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"038901001",33.3,.,.,.,.,.,.,.,.,21.2,.,.,60.6,4.2,.,.,11.6,.,.,18.7,.,.,16.2,.,.,-1,.,.,-1,23.5,.,.,9,2.2,26,.,.
"038901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"038901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"039902001",10,-1,-1,.,.,.,.,.,.,25.3,47.1,10.9,51.9,.,.,.,13.9,-1,5,26.4,50,12.3,20,.,0,40,.,-1,.,24.4,44.4,9.9,10.2,3,26,50,11.3
"039902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"039902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"039903001",-1,.,.,.,.,.,.,.,.,16.3,.,.,45.8,-1,.,.,5.4,.,.,13.6,.,.,10.5,.,.,-1,.,.,-1,18.8,.,.,5,0,17.9,.,.
"039903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"039904001",-1,.,.,.,.,.,.,.,.,5.7,.,.,26.3,.,.,.,15.8,.,.,12,.,.,-1,.,.,-1,.,.,.,0,.,.,0,0,6,.,.
"039905001",.,.,.,.,.,.,.,.,.,44.1,.,.,54.5,.,.,.,41.7,.,.,46.2,.,.,-1,.,.,.,.,.,.,42.9,.,.,27.3,25,41.9,.,.
"040901001",-1,.,.,.,.,.,.,.,.,20.2,.,.,-1,33.3,.,.,19.8,.,.,25.5,.,.,19.5,.,.,.,.,.,-1,13.6,.,.,12.2,0,20,.,.
"040901002",.,.,.,.,.,.,.,.,.,0,.,.,-1,.,.,.,0,.,.,-1,.,.,0,.,.,.,.,.,.,0,.,.,0,.,.,.,.
"040901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
